Geni id,Geni profile name,BH database URL,BH theme,BH floor,BH location,Wikipedia URL
profile-89675648,Barbra Streisand,,Popular Music,,,
profile-26644442,Neil Sedaka,,Popular Music,,,
profile-34676350208,Malcolm McLaren,,Popular Music,,,
profile-34660983099,Barry Manilow,,Popular Music,,,
profile-29879085293,Neil Diamond,,Popular Music,,,
profile-34691437733,"Svetlana Alexándrovna Alexiévich, Nobel Prize in Literature, 2015",,Literature & Poetry,,,
profile-114492377,Donald Nicholas Pritzker,,Economics,,,
profile-72640857,André Previn,,Popular Music,,,
profile-34676997011,"Monique Andrée ""Barbara"" Serf",,Popular Music,,,
profile-34631094149,Marc Bolan,,Popular Music,,,
profile-1740008,Al Jolson,,Popular Music,,,
profile-76324342,Benny Goodman,,Popular Music,,,
profile-116125106,Billy Joel,,Popular Music,,,
profile-72648750,Jerome David Kern,,Popular Music,,,
profile-34657881472,Stephen Sondheim,,Popular Music,,,
profile-35309281,Abel Meeropol,,Popular Music,,,
profile-2153518,Mike Stoller,,Popular Music,,,
profile-34631713975,Jerry (Jerome) I Leiber,,Popular Music,,,
profile-34625784023,Alan Jay Lerner,,Popular Music,,,
profile-34725652377,Elmer Bernstein,,Popular Music,,,
profile-34623786300,Kurt Julian Weill,,Popular Music,,,
profile-34710196684,James Levine,,Classical Music,,,
profile-72122136,"Ockie Hammerstein, II",,Popular Music,,,
profile-12274203293,Marvin Hamlisch,,Popular Music,,,
profile-34621690186,Richard Rodgers,,Popular Music,,,
profile-34693666557,Lorenz Milton Hart,,Popular Music,,,
profile-111097463,Ira Gershwin,,Popular Music,,,
profile-86421394,Serge Gainsbourg,,Popular Music,,,
profile-34732916086,Daoud Al-Kuwaity,,Popular Music,,,
profile-34732916125,Saleh Al-Kuwaity,,Popular Music,,,
profile-34756181773,Maxim Vengerov,,Classical Music,,,
profile-34756181504,Evgeny Igorevich Kissin,,Classical Music,,,
profile-117844192,Burt Bacharach,,Popular Music,,,
profile-40849356,Jan Peerce,,Classical Music,,,
profile-34693733953,Robert Silverberg,,Literature & Poetry,,,
profile-34756098477,Jennie Tourel,,Classical Music,,,
profile-34709436115,Roberta Peters,,Classical Music,,,
profile-34709435931,Robert Merrill,,Classical Music,,,
profile-34636914179,Beverly Sills,,Classical Music,,,
profile-34756027357,John Zorn,,Classical Music,,,
profile-34756027147,Yefim Naumovich Bronfman,,Classical Music,,,
profile-34756026685,Vladimir Davidovich Ashkenazy,,Classical Music,,,
profile-34756026378,Shlomo Mintz,,Classical Music,,,
profile-34714873403,Nathan Mironovitch Milstein,,Classical Music,,,
profile-34717339275,Lazar Markovich Lissitzky,,,,,
profile-70965378,"Исаак Израилевич Бродский
Isaac Izrailevich Brodsky",,Plastic Art,,,
profile-2119675,Mark (Mordecai) Antokolsky,,Plastic Art,,,
profile-34756025278,Gary Semyonovich Shteyngart,,Literature & Poetry,,,
profile-34636029146,Irwin Gilbert Shaw,,,,,
profile-34756024194,Harold Robbins,,Literature & Poetry,,,
profile-35989810,Etgar Keret,,Literature & Poetry,,,
profile-34756023791,Cassandra Clare,,Literature & Poetry,,,
profile-49990858,Harlan Geoffrey Coben,,Literature & Poetry,,,
profile-50119992,Georges Perec,,Literature & Poetry,,,
profile-34626673565,Donald Simon Klopfer,,Literature & Poetry,,,
profile-34623218961,Richard Leo Simon,,Literature & Poetry,,,
profile-34756021821,Max Lincoln Schuster,,Literature & Poetry,,,
profile-52237484,Irving Stone,,Literature & Poetry,,,
profile-34756020853,Jacqueline Susann,,Literature & Poetry,,,
profile-40435071,Simon Jonathan Sebag-Montefiore,,Literature & Poetry,,,
profile-34756020514,Nathalie Sarraute,,Literature & Poetry,,,
profile-41714344,Richard Tucker,,Classical Music,,,
profile-34631758339,Artur Schnabel,,Classical Music,,,
profile-34672665988,Pinchas Zukerman,,Classical Music,,,
profile-34755903416,Harry Maxwell Harrrison,,Literature & Poetry,,,
profile-34755903317,Vasily Grossman,,Literature & Poetry,,,
profile-36755291,Howard Jacobson,,Literature & Poetry,,,
profile-34755903168,Boris Akunin,,Literature & Poetry,,,
profile-88072166,Nathan Englander,,Literature & Poetry,,,
profile-34755902312,Grigori Shtern,,Military,,,
profile-34755902208,Leopold Trepper,,Military,,,
profile-34639376340,George Behar alias KGB spion George Blake,,Military,,,
profile-116355032,Thomas Loren Friedman,,Press & Media,,,
profile-128172760,Anne Sinclair,,Press & Media,,,
profile-72329294,Yuri Borisovich Levitan,,Press & Media,,,
profile-34641925921,Adam Michnik,,Press & Media,,,
profile-34755897353,Vladimir Gusinsky,,Press & Media,,,
profile-34755897127,Joseph Greenblatt,,Science,,,
profile-34722484545,Wanda Landowska,,Classical Music,,,
profile-62510311,Arthur Rubinstein,,Classical Music,,,
profile-34657277662,Sir Andreas Schiff,,Classical Music,,,
