Geni id,Geni profile name,BH database URL,Ushi,BH theme,BH floor,BH location,,Wikipedia URL,Notes,RANDY,,
profile-127199619,Bette Midler,,"אמנויות הבימה, מוזיקה, האם יש רוק יהודי? ",Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34653594463,Billy Wilder,,"אמנויות הבימה, קולנוע, האם יש בהוליווד קולנוע יהודי? ",Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34657013786,Carl Laemmle,,"אמנויות הבימה, קולנוע, האם יש בהוליווד קולנוע יהודי? ",Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-129591213,Cecil B. DeMille,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34758289426,Chuck Lorre,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34758230630,David Crane,,"אמנויות הבימה, קולנוע, חלוצי טלוויזיה באמריקה",Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34659803092,David Cronenberg,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34654546642,Eli Wallach,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-89676366,Elliot Gould,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34661313127,Ephraim Kishon,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34715401632,Ernst Lubitsch,,"אמנויות הבימה, קולנוע, מה המשותף לקולנוע ביידיש ולקולנוע אוונגרד ",Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34666804621,Fred Zinnemann,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34625700708,Fritz Lang,,"אמנויות הבימה, קולנוע, מה המשותף לקולנוע ביידיש ולקולנוע אוונגרד ",Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-29443613,Gal Gadot,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34667069512,Garry Shandling,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-59280731,Goldie Hawn,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-1754308,Gwyneth Paltrow,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-48702978,Harrison Ford,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34621241827,Harry Cohn,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
